accelerometer,gyroscope,overall_angle,time
"{'x': 5.528211633300781, 'y': 0.19153613281249998, 'z': 7.129932543945312}","{'x': -0.9694656488549618, 'y': 1.6870229007633588, 'z': -1.0229007633587786}",47.650857457384525,2025-04-17 13:28:15.007147
"{'x': 5.504269616699219, 'y': 0.20350714111328125, 'z': 7.115567333984375}","{'x': -1.0, 'y': -0.08396946564885496, 'z': -1.0305343511450382}",47.66151587937667,2025-04-17 13:28:25.022956
"{'x': 5.5545478515625, 'y': 0.22026655273437498, 'z': 7.275978845214843}","{'x': -0.9770992366412213, 'y': -0.15267175572519084, 'z': -1.1603053435114503}",47.68928437743785,2025-04-17 13:28:35.029644
"{'x': 5.578489868164062, 'y': 0.19871873779296872, 'z': 7.125144140624999}","{'x': -1.0229007633587786, 'y': -0.6030534351145038, 'z': -1.1450381679389312}",47.95187790061456,2025-04-17 13:28:45.045550
"{'x': 5.710170959472656, 'y': 0.22026655273437498, 'z': 7.113173132324218}","{'x': -0.8549618320610687, 'y': -0.0916030534351145, 'z': -1.0}",47.92983872986676,2025-04-17 13:28:55.061267
"{'x': 5.736507177734374, 'y': 0.26336218261718747, 'z': 7.0078282592773435}","{'x': -0.8854961832061069, 'y': -0.3435114503816794, 'z': -1.3358778625954197}",48.040558286269324,2025-04-17 13:29:05.077034
"{'x': 5.820304235839844, 'y': 0.19153613281249998, 'z': 7.1035963256835934}","{'x': -1.0610687022900764, 'y': -0.24427480916030533, 'z': -0.9923664122137404}",48.16493608850195,2025-04-17 13:29:15.092759
"{'x': 5.722141967773437, 'y': 0.24899697265624998, 'z': 6.998251452636718}","{'x': -1.0305343511450382, 'y': -0.16793893129770993, 'z': -1.0}",48.236399463077575,2025-04-17 13:29:25.108527
"{'x': 5.681440539550781, 'y': 0.23223756103515625, 'z': 7.029376074218749}","{'x': -1.0305343511450382, 'y': -0.17557251908396945, 'z': -1.2290076335877862}",48.305878203049154,2025-04-17 13:29:35.115305
"{'x': 5.693411547851563, 'y': 0.2442085693359375, 'z': 7.0652890991210935}","{'x': -1.0763358778625953, 'y': -0.0916030534351145, 'z': -1.1221374045801527}",48.34725075374266,2025-04-17 13:29:45.130716
"{'x': 5.655104321289063, 'y': 0.29927520751953124, 'z': 7.074865905761718}","{'x': -0.9541984732824428, 'y': -0.05343511450381679, 'z': -1.0687022900763359}",48.323699277499486,2025-04-17 13:29:55.146414
"{'x': 5.736507177734374, 'y': 0.22266075439453123, 'z': 7.072471704101562}","{'x': -1.0229007633587786, 'y': 0.2595419847328244, 'z': -1.1755725190839694}",48.189467899536446,2025-04-17 13:30:05.162053
"{'x': 5.66946953125, 'y': 0.1771709228515625, 'z': 7.091625317382812}","{'x': -1.0916030534351144, 'y': -0.24427480916030533, 'z': -0.9770992366412213}",48.31008640963297,2025-04-17 13:30:15.172843
"{'x': 5.7843912109375, 'y': 0.239420166015625, 'z': 7.117961535644531}","{'x': -1.0534351145038168, 'y': -0.16030534351145037, 'z': -0.9465648854961832}",48.38047745995054,2025-04-17 13:30:25.188401
"{'x': 5.820304235839844, 'y': 0.26336218261718747, 'z': 7.079654309082031}","{'x': -1.1297709923664123, 'y': -0.4122137404580153, 'z': -1.183206106870229}",48.594218195372235,2025-04-17 13:30:35.204086
"{'x': 5.705382556152343, 'y': 0.2059013427734375, 'z': 7.060500695800781}","{'x': -1.0305343511450382, 'y': -0.44274809160305345, 'z': -1.0305343511450382}",48.78282492588171,2025-04-17 13:30:45.211088
"{'x': 5.729324572753906, 'y': 0.21068974609375, 'z': 7.0844427124023435}","{'x': -1.0076335877862594, 'y': -0.2595419847328244, 'z': -1.1450381679389312}",48.875449984877086,2025-04-17 13:30:55.217474
"{'x': 5.717353564453124, 'y': 0.2154781494140625, 'z': 7.096413720703125}","{'x': -0.9770992366412213, 'y': -0.32061068702290074, 'z': -1.0458015267175573}",48.98317144766991,2025-04-17 13:31:05.232768
"{'x': 5.528211633300781, 'y': 0.21068974609375, 'z': 7.1778165771484375}","{'x': -1.0610687022900764, 'y': -0.20610687022900764, 'z': -1.1450381679389312}",49.04104020950618,2025-04-17 13:31:15.248435
"{'x': 5.705382556152343, 'y': 0.239420166015625, 'z': 7.125144140624999}","{'x': -1.0916030534351144, 'y': -0.37404580152671757, 'z': -0.9083969465648855}",49.201748016555364,2025-04-17 13:31:25.264149
"{'x': 5.68862314453125, 'y': 0.1867477294921875, 'z': 7.129932543945312}","{'x': -0.9770992366412213, 'y': -0.3969465648854962, 'z': -1.1526717557251909}",49.33651387286116,2025-04-17 13:31:35.273654
"{'x': 5.724536169433593, 'y': 0.229843359375, 'z': 7.034164477539062}","{'x': -1.083969465648855, 'y': -0.1984732824427481, 'z': -1.0763358778625953}",49.415116509260145,2025-04-17 13:31:45.280045
"{'x': 5.748478186035156, 'y': 0.181959326171875, 'z': 7.1395093505859375}","{'x': -0.9923664122137404, 'y': -0.061068702290076333, 'z': -1.083969465648855}",49.39800536082033,2025-04-17 13:31:55.288732
"{'x': 5.72693037109375, 'y': 0.2154781494140625, 'z': 7.086836914062499}","{'x': -1.0687022900763359, 'y': -0.5419847328244275, 'z': -1.0076335877862594}",49.62934372080122,2025-04-17 13:32:05.295287
"{'x': 5.743689782714843, 'y': 0.17956512451171874, 'z': 6.902483386230468}","{'x': -0.9465648854961832, 'y': -0.2824427480916031, 'z': -0.9541984732824428}",49.71298309835008,2025-04-17 13:32:15.310665
"{'x': 5.681440539550781, 'y': 0.22266075439453123, 'z': 7.1203557373046875}","{'x': -1.1297709923664123, 'y': -0.46564885496183206, 'z': -1.0458015267175573}",49.91499325929674,2025-04-17 13:32:25.324071
"{'x': 5.983109948730468, 'y': 0.181959326171875, 'z': 6.754042883300781}","{'x': -1.1297709923664123, 'y': -0.3511450381679389, 'z': -1.1374045801526718}",50.11132828967218,2025-04-17 13:32:35.331091
